时间,直调负荷(MW),联络线受电负荷(MW),风电总加(MW),光伏总加(MW),地方电厂发电总加(MW),非市场化核电总加(MW),自备机组总加(MW),试验机组总加(MW),抽蓄(MW)
2023-10-02 04:30:00+08,45361.086,9768.594,1585.13,-4.72,6956.388,1319.449,4052.191,0,0.0
2023-10-02 04:45:00+08,45650.59,9838.936,1678.53,-4.72,6949.31,1317.242,4061.083,0,0.0
2023-10-02 05:00:00+08,46186.395,9886.112,1785.32,-4.72,6965.682,1317.965,4036.107,0,0.0
2023-10-02 05:15:00+08,46804.879,9832.941,1833.73,14.84,6947.895,1315.037,4028.91,0,0.0
2023-10-02 05:30:00+08,47255.281,10294.637,1896.81,14.53,6962.928,1315.874,4047.866,0,0.0
2023-10-02 05:45:00+08,47814.012,10933.216,1848.35,8.82,6963.841,1315.303,4043.703,0,0.0
2023-10-02 06:00:00+08,48498.563,11764.437,1864.16,13.95,6963.263,1315.988,4027.842,0,0.0
2023-10-02 06:15:00+08,49663.238,12416.925,1893.03,102.55,6973.134,1315.342,4022.02,0,0.0
2023-10-02 06:30:00+08,50143.707,12028.359,1922.19,344.03,6979.975,1314.886,4007.126,0,0.0
2023-10-02 06:45:00+08,50408.473,12283.906,1926.63,762.31,6984.387,1315.532,4002.034,0,0.0
2023-10-02 07:00:00+08,50000.66,12075.977,1938.34,1287.76,6964.583,1314.619,3973.807,0,0.0
2023-10-02 07:15:00+08,50074.316,12818.416,1915.11,1886.3,6965.413,1314.771,3974.173,0,0.0
2023-10-02 07:30:00+08,49431.668,13257.312,1913.72,2474.85,6958.076,1314.392,3953.938,0,0.0
2023-10-02 07:45:00+08,49317.234,14004.848,1809.59,3120.92,6936.439,1314.696,3932.518,0,0.0
2023-10-02 08:00:00+08,48911.648,14382.541,1698.9,3778.85,6907.578,1315.305,3869.568,0,0.0
2023-10-02 08:15:00+08,48862.234,14754.035,1518.75,4311.58,6904.192,1314.696,3861.636,0,0.0
2023-10-02 08:30:00+08,48370.598,15595.084,1194.16,4759.54,6936.988,1313.897,3845.356,0,-314.8
2023-10-02 08:45:00+08,47773.262,16080.024,847.84,5342.88,6939.891,1314.621,3850.038,0,-628.5
2023-10-02 09:00:00+08,47159.582,16293.885,548.9,5682.35,6920.417,1315.229,3826.444,0,-633.1
2023-10-02 09:15:00+08,46518.629,16289.094,437.52,6020.15,6933.88,1312.489,3817.604,0,-948.0
2023-10-02 09:30:00+08,46061.004,16134.247,367.63,6584.95,6900.029,1311.996,3824.486,0,-1251.1
2023-10-02 09:45:00+08,45286.332,16344.088,322.49,6889.74,6937.238,1312.225,3802.173,0,-1250.3
2023-10-02 10:00:00+08,44852.082,16557.699,331.29,6852.03,6914.215,1313.29,3820.808,0,-1515.6
2023-10-02 10:15:00+08,45189.883,16697.137,388.8,7433.2,6924.909,1313.556,3765.091,0,-1528.7
