时间,华北来电(MW),银东直流(MW),鲁固直流(MW),昭沂直流(MW)
2023-10-04 00:15:00+08,3886.304,1432.129,2381.592,2307.471
2023-10-04 00:30:00+08,4092.898,1967.773,2379.761,2310.209
2023-10-04 00:45:00+08,3933.702,2506.104,2378.845,2312.928
2023-10-04 01:00:00+08,3970.753,2507.813,2379.456,2316.364
2023-10-04 01:15:00+08,3799.224,2505.615,2381.287,2323.404
2023-10-04 01:30:00+08,4097.685,2505.615,2380.676,2323.029
2023-10-04 01:45:00+08,4049.632,2505.127,2379.761,2323.396
2023-10-04 02:00:00+08,4000.7,2504.883,2379.456,2323.034
2023-10-04 02:15:00+08,4090.574,2505.127,2380.371,2323.817
2023-10-04 02:30:00+08,3822.723,2505.859,2380.676,2323.612
2023-10-04 02:45:00+08,3819.2,2505.615,2380.676,2322.986
2023-10-04 03:00:00+08,4102.569,2505.127,2380.066,2323.169
2023-10-04 03:15:00+08,4035.391,2505.615,2379.761,2325.522
2023-10-04 03:30:00+08,3961.446,2505.615,2380.676,2325.53
2023-10-04 03:45:00+08,4122.788,2506.104,2380.371,2325.214
2023-10-04 04:00:00+08,3864.876,2506.104,2380.371,2325.33
2023-10-04 04:15:00+08,3913.016,2505.615,2379.761,2325.053
2023-10-04 04:30:00+08,3868.466,2504.883,2379.456,2325.575
2023-10-04 04:45:00+08,3924.016,2505.615,2380.371,2325.624
2023-10-04 05:00:00+08,3890.536,2505.371,2379.761,2325.161
2023-10-04 05:15:00+08,3711.043,2505.371,2380.676,2324.806
2023-10-04 05:30:00+08,4188.471,2775.146,2631.226,2257.014
2023-10-04 05:45:00+08,3938.68,3008.789,2883.301,2187.06
2023-10-04 06:00:00+08,4053.685,3009.766,3134.155,2117.847
2023-10-04 06:15:00+08,4125.817,3007.08,3398.743,2045.804
2023-10-04 06:30:00+08,4077.624,3008.301,3398.438,2046.292
2023-10-04 06:45:00+08,3954.897,3010.742,3396.606,2045.806
2023-10-04 07:00:00+08,4343.575,3009.766,3397.217,2045.451
2023-10-04 07:15:00+08,4738.433,3009.766,3399.658,2045.674
2023-10-04 07:30:00+08,5307.685,2787.109,3397.522,2045.963
2023-10-04 07:45:00+08,5713.729,2785.156,3398.438,2046.149
2023-10-04 08:00:00+08,6365.281,2753.174,3399.658,2046.083
2023-10-04 08:15:00+08,6743.227,2761.23,3397.827,2046.157
2023-10-04 08:30:00+08,7318.705,2760.01,3398.132,2042.796
2023-10-04 08:45:00+08,7856.331,2758.545,3397.827,2040.286
2023-10-04 09:00:00+08,9092.679,2159.424,3397.522,2037.105
2023-10-04 09:15:00+08,8426.65,2694.824,3399.048,2032.171
2023-10-04 09:30:00+08,8272.864,2692.871,3399.963,2033.84
2023-10-04 09:45:00+08,8245.994,2688.965,3400.269,2035.879
2023-10-04 10:00:00+08,8236.984,2662.354,3400.574,2037.991
2023-10-04 10:15:00+08,8112.044,2675.781,3400.574,2040.027
2023-10-04 10:30:00+08,8102.947,2677.246,3147.583,2070.839
2023-10-04 10:45:00+08,8626.764,2517.578,2896.423,2102.186
2023-10-04 11:00:00+08,7227.606,2741.455,3646.24,2133.263
2023-10-04 11:15:00+08,6206.163,2478.271,3382.568,2168.913
2023-10-04 11:30:00+08,6367.71,2490.479,3381.348,2169.317
2023-10-04 11:45:00+08,5479.401,2490.234,3382.568,2169.416
2023-10-04 12:00:00+08,5391.399,2485.107,2379.15,2169.602
2023-10-04 12:15:00+08,6525.556,2015.381,2527.161,3005.46
2023-10-04 12:30:00+08,8682.208,1132.813,3121.948,3002.681
2023-10-04 12:45:00+08,8235.406,1108.643,3118.286,3030.017
2023-10-04 13:00:00+08,8036.639,1118.896,3107.91,3030.969
2023-10-04 13:15:00+08,7350.979,980.225,3995.667,2179.475
2023-10-04 13:30:00+08,7362.593,1084.961,4453.125,2148.039
2023-10-04 13:45:00+08,7416.518,1178.955,4741.211,2117.225
2023-10-04 14:00:00+08,6816.28,1507.08,4678.04,2085.284
2023-10-04 14:15:00+08,6386.087,2110.352,3914.795,2050.151
2023-10-04 14:30:00+08,6965.292,2337.158,3779.907,2049.983
2023-10-04 14:45:00+08,6575.38,2577.881,3576.965,2049.965
2023-10-04 15:00:00+08,5900.58,2758.301,3476.563,2049.68
2023-10-04 15:15:00+08,6093.835,2999.512,3399.048,2050.037
2023-10-04 15:30:00+08,6021.836,3007.08,3399.963,2046.221
2023-10-04 15:45:00+08,5575.259,3008.057,3744.507,2042.263
2023-10-04 16:00:00+08,5321.918,3007.568,4205.017,2038.352
2023-10-04 16:15:00+08,6374.031,3007.324,3399.048,2082.27
2023-10-04 16:30:00+08,7252.148,3008.301,3400.269,2865.589
2023-10-04 16:45:00+08,7270.844,3008.301,3400.269,3749.583
2023-10-04 17:00:00+08,7853.948,3007.08,3399.658,3735.197
2023-10-04 17:15:00+08,8008.496,3008.301,3398.743,3661.679
2023-10-04 17:30:00+08,8236.572,3008.057,3399.048,3665.163
2023-10-04 17:45:00+08,8096.109,3009.033,3399.048,3668.259
2023-10-04 18:00:00+08,8302.84,3008.057,3399.048,3669.907
2023-10-04 18:15:00+08,8160.365,3010.498,3401.184,3674.621
2023-10-04 18:30:00+08,8149.268,3008.789,3400.269,3673.295
2023-10-04 18:45:00+08,8124.942,3007.568,3400.879,3671.47
2023-10-04 19:00:00+08,8161.68,3008.301,3399.048,3671.285
2023-10-04 19:15:00+08,8273.897,3010.254,3400.879,3669.349
2023-10-04 19:30:00+08,8004.364,3010.01,3402.405,3673.001
2023-10-04 19:45:00+08,8158.855,3008.789,3399.353,3676.177
2023-10-04 20:00:00+08,8126.112,3010.01,3402.405,3680.922
2023-10-04 20:15:00+08,7793.373,3009.033,3400.269,3685.128
2023-10-04 20:30:00+08,7435.801,3010.498,3399.963,3687.134
2023-10-04 20:45:00+08,6850.256,3010.254,3399.963,3691.495
2023-10-04 21:00:00+08,6319.161,3007.813,3400.269,3694.091
2023-10-04 21:15:00+08,6651.41,2696.777,3399.658,3698.795
2023-10-04 21:30:00+08,6553.917,2714.844,3399.658,3697.747
2023-10-04 21:45:00+08,6559.132,2652.832,3400.574,3699.369
2023-10-04 22:00:00+08,6588.727,2485.596,3400.879,3699.051
2023-10-04 22:15:00+08,6436.149,2318.604,3400.269,3699.578
2023-10-04 22:30:00+08,5999.969,2241.455,3146.057,3432.012
2023-10-04 22:45:00+08,5556.768,2168.457,2890.93,3165.793
2023-10-04 23:00:00+08,4198.234,2524.17,2638.55,2897.656
2023-10-04 23:15:00+08,4348.701,2214.6,2380.981,2626.237
2023-10-04 23:30:00+08,4359.077,1661.377,2379.761,2626.01
2023-10-04 23:45:00+08,4333.738,1115.479,2380.371,2625.94
2023-10-05 00:00:00+08,4777.962,411.377,2379.761,2626.16
2023-10-05 00:15:00+08,5349.068,410.889,2978.21,2307.349
2023-10-05 00:30:00+08,5372.512,407.959,3253.479,2310.208
2023-10-05 00:45:00+08,5286.982,408.203,3136.902,2313.286
2023-10-05 01:00:00+08,5384.182,409.18,3040.161,2316.189
2023-10-05 01:15:00+08,5372.328,407.227,3179.321,2323.426
2023-10-05 01:30:00+08,5394.052,411.377,3041.687,2323.645
2023-10-05 01:45:00+08,5422.946,407.471,3175.049,2323.055
2023-10-05 02:00:00+08,5311.628,408.691,3070.679,2323.606
2023-10-05 02:15:00+08,5408.315,406.494,3066.406,2372.013
2023-10-05 02:30:00+08,5537.624,407.471,3096.313,2376.67
2023-10-05 02:45:00+08,5447.865,409.424,3102.417,2398.943
2023-10-05 03:00:00+08,5179.02,408.691,3093.872,2426.725
2023-10-05 03:15:00+08,5753.162,409.668,3070.679,2455.595
